"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Login with correct email and password","LMS service","Fri Jan 23 01:02:08 UTC 2026","passed","Fri Jan 23 01:02:08 UTC 2026","Login","Authentication","",""
"","279","Get file with incorrect file id","LMS service","Fri Jan 23 01:02:16 UTC 2026","passed","Fri Jan 23 01:02:17 UTC 2026","Validate entity","Files","",""
"","20","Delete file","LMS service","Fri Jan 23 01:02:15 UTC 2026","passed","Fri Jan 23 01:02:15 UTC 2026","Delete entity","Files","",""
"","324","Get exercise","LMS service","Fri Jan 23 01:02:12 UTC 2026","passed","Fri Jan 23 01:02:12 UTC 2026","Get entity","Exercises","",""
"","12","Get user me","LMS service","Fri Jan 23 01:02:18 UTC 2026","passed","Fri Jan 23 01:02:18 UTC 2026","Get entity","Users","",""
"","265","Create file with empty directory","LMS service","Fri Jan 23 01:02:16 UTC 2026","passed","Fri Jan 23 01:02:16 UTC 2026","Validate entity","Files","",""
"","311","Update course","LMS service","Fri Jan 23 01:02:10 UTC 2026","passed","Fri Jan 23 01:02:10 UTC 2026","Update entity","Courses","",""
"","13","Get file","LMS service","Fri Jan 23 01:02:14 UTC 2026","passed","Fri Jan 23 01:02:14 UTC 2026","Get entity","Files","",""
"","556","Create user","LMS service","Fri Jan 23 01:02:17 UTC 2026","passed","Fri Jan 23 01:02:17 UTC 2026","Create entity","Users","",""
"","558","Create user","LMS service","Fri Jan 23 01:02:16 UTC 2026","passed","Fri Jan 23 01:02:17 UTC 2026","Create entity","Users","",""
"","290","Create user","LMS service","Fri Jan 23 01:02:17 UTC 2026","passed","Fri Jan 23 01:02:17 UTC 2026","Create entity","Users","",""
"","307","Create course","LMS service","Fri Jan 23 01:02:09 UTC 2026","passed","Fri Jan 23 01:02:09 UTC 2026","Create entity","Courses","",""
"","262","Create file","LMS service","Fri Jan 23 01:02:14 UTC 2026","passed","Fri Jan 23 01:02:14 UTC 2026","Create entity","Files","",""
"","265","Create file with empty filename","LMS service","Fri Jan 23 01:02:15 UTC 2026","passed","Fri Jan 23 01:02:16 UTC 2026","Validate entity","Files","",""
"","21","Get exercises","LMS service","Fri Jan 23 01:02:13 UTC 2026","passed","Fri Jan 23 01:02:13 UTC 2026","Get entities","Exercises","",""
"","23","Update exercise","LMS service","Fri Jan 23 01:02:12 UTC 2026","passed","Fri Jan 23 01:02:12 UTC 2026","Update entity","Exercises","",""
"","32","Get courses","LMS service","Fri Jan 23 01:02:09 UTC 2026","passed","Fri Jan 23 01:02:09 UTC 2026","Get entities","Courses","",""
"","294","Delete exercise","LMS service","Fri Jan 23 01:02:13 UTC 2026","passed","Fri Jan 23 01:02:13 UTC 2026","Delete entity","Exercises","",""
"","295","Create exercise","LMS service","Fri Jan 23 01:02:10 UTC 2026","passed","Fri Jan 23 01:02:11 UTC 2026","Create entity","Exercises","",""
