"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Delete exercise","LMS service","Thu Jan 22 15:56:37 UTC 2026","passed","Thu Jan 22 15:56:37 UTC 2026","Delete entity","Exercises","",""
"","267","Create file with empty filename","LMS service","Thu Jan 22 15:56:40 UTC 2026","passed","Thu Jan 22 15:56:40 UTC 2026","Validate entity","Files","",""
"","34","Get courses","LMS service","Thu Jan 22 15:56:34 UTC 2026","passed","Thu Jan 22 15:56:34 UTC 2026","Get entities","Courses","",""
"","554","Login with correct email and password","LMS service","Thu Jan 22 15:56:32 UTC 2026","passed","Thu Jan 22 15:56:33 UTC 2026","Login","Authentication","",""
"","18","Create file","LMS service","Thu Jan 22 15:56:38 UTC 2026","passed","Thu Jan 22 15:56:38 UTC 2026","Create entity","Files","",""
"","33","Update course","LMS service","Thu Jan 22 15:56:34 UTC 2026","passed","Thu Jan 22 15:56:34 UTC 2026","Update entity","Courses","",""
"","20","Get exercises","LMS service","Thu Jan 22 15:56:38 UTC 2026","passed","Thu Jan 22 15:56:38 UTC 2026","Get entities","Exercises","",""
"","14","Get user me","LMS service","Thu Jan 22 15:56:42 UTC 2026","passed","Thu Jan 22 15:56:42 UTC 2026","Get entity","Users","",""
"","24","Delete file","LMS service","Thu Jan 22 15:56:39 UTC 2026","passed","Thu Jan 22 15:56:39 UTC 2026","Delete entity","Files","",""
"","273","Get file with incorrect file id","LMS service","Thu Jan 22 15:56:41 UTC 2026","passed","Thu Jan 22 15:56:41 UTC 2026","Validate entity","Files","",""
"","560","Create user","LMS service","Thu Jan 22 15:56:41 UTC 2026","passed","Thu Jan 22 15:56:42 UTC 2026","Create entity","Users","",""
"","41","Create course","LMS service","Thu Jan 22 15:56:33 UTC 2026","passed","Thu Jan 22 15:56:33 UTC 2026","Create entity","Courses","",""
"","23","Get exercise","LMS service","Thu Jan 22 15:56:37 UTC 2026","passed","Thu Jan 22 15:56:37 UTC 2026","Get entity","Exercises","",""
"","20","Get file","LMS service","Thu Jan 22 15:56:39 UTC 2026","passed","Thu Jan 22 15:56:39 UTC 2026","Get entity","Files","",""
"","18","Update exercise","LMS service","Thu Jan 22 15:56:35 UTC 2026","passed","Thu Jan 22 15:56:35 UTC 2026","Update entity","Exercises","",""
"","537","Create user","LMS service","Thu Jan 22 15:56:40 UTC 2026","passed","Thu Jan 22 15:56:41 UTC 2026","Create entity","Users","",""
"","29","Create exercise","LMS service","Thu Jan 22 15:56:35 UTC 2026","passed","Thu Jan 22 15:56:35 UTC 2026","Create entity","Exercises","",""
"","532","Create user","LMS service","Thu Jan 22 15:56:41 UTC 2026","passed","Thu Jan 22 15:56:41 UTC 2026","Create entity","Users","",""
"","19","Create file with empty directory","LMS service","Thu Jan 22 15:56:40 UTC 2026","passed","Thu Jan 22 15:56:40 UTC 2026","Validate entity","Files","",""
