"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Get exercises","LMS service","Sat Feb 07 14:30:35 UTC 2026","passed","Sat Feb 07 14:30:35 UTC 2026","Get entities","Exercises","",""
"","15","Get file","LMS service","Sat Feb 07 14:30:36 UTC 2026","passed","Sat Feb 07 14:30:36 UTC 2026","Get entity","Files","",""
"","25","Get courses","LMS service","Sat Feb 07 14:30:31 UTC 2026","passed","Sat Feb 07 14:30:31 UTC 2026","Get entities","Courses","",""
"","41","Update course","LMS service","Sat Feb 07 14:30:32 UTC 2026","passed","Sat Feb 07 14:30:32 UTC 2026","Update entity","Courses","",""
"","285","Get exercise","LMS service","Sat Feb 07 14:30:34 UTC 2026","passed","Sat Feb 07 14:30:34 UTC 2026","Get entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Sat Feb 07 14:30:37 UTC 2026","passed","Sat Feb 07 14:30:37 UTC 2026","Validate entity","Files","",""
"","267","Create file with empty directory","LMS service","Sat Feb 07 14:30:38 UTC 2026","passed","Sat Feb 07 14:30:38 UTC 2026","Validate entity","Files","",""
"","548","Create user","LMS service","Sat Feb 07 14:30:38 UTC 2026","passed","Sat Feb 07 14:30:39 UTC 2026","Create entity","Users","",""
"","556","Create user","LMS service","Sat Feb 07 14:30:39 UTC 2026","passed","Sat Feb 07 14:30:39 UTC 2026","Create entity","Users","",""
"","20","Delete file","LMS service","Sat Feb 07 14:30:37 UTC 2026","passed","Sat Feb 07 14:30:37 UTC 2026","Delete entity","Files","",""
"","39","Create course","LMS service","Sat Feb 07 14:30:31 UTC 2026","passed","Sat Feb 07 14:30:31 UTC 2026","Create entity","Courses","",""
"","296","Delete exercise","LMS service","Sat Feb 07 14:30:34 UTC 2026","passed","Sat Feb 07 14:30:35 UTC 2026","Delete entity","Exercises","",""
"","265","Create file","LMS service","Sat Feb 07 14:30:35 UTC 2026","passed","Sat Feb 07 14:30:36 UTC 2026","Create entity","Files","",""
"","266","Get file with incorrect file id","LMS service","Sat Feb 07 14:30:38 UTC 2026","passed","Sat Feb 07 14:30:39 UTC 2026","Validate entity","Files","",""
"","25","Create exercise","LMS service","Sat Feb 07 14:30:32 UTC 2026","passed","Sat Feb 07 14:30:32 UTC 2026","Create entity","Exercises","",""
"","20","Update exercise","LMS service","Sat Feb 07 14:30:33 UTC 2026","passed","Sat Feb 07 14:30:33 UTC 2026","Update entity","Exercises","",""
"","290","Create user","LMS service","Sat Feb 07 14:30:39 UTC 2026","passed","Sat Feb 07 14:30:39 UTC 2026","Create entity","Users","",""
"","284","Login with correct email and password","LMS service","Sat Feb 07 14:30:30 UTC 2026","passed","Sat Feb 07 14:30:30 UTC 2026","Login","Authentication","",""
"","13","Get user me","LMS service","Sat Feb 07 14:30:40 UTC 2026","passed","Sat Feb 07 14:30:40 UTC 2026","Get entity","Users","",""
