"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","268","Get file with incorrect file id","LMS service","Sat Feb 07 14:26:04 UTC 2026","passed","Sat Feb 07 14:26:04 UTC 2026","Validate entity","Files","",""
"","21","Delete exercise","LMS service","Sat Feb 07 14:26:00 UTC 2026","passed","Sat Feb 07 14:26:00 UTC 2026","Delete entity","Exercises","",""
"","550","Login with correct email and password","LMS service","Sat Feb 07 14:25:56 UTC 2026","passed","Sat Feb 07 14:25:56 UTC 2026","Login","Authentication","",""
"","526","Create user","LMS service","Sat Feb 07 14:26:03 UTC 2026","passed","Sat Feb 07 14:26:04 UTC 2026","Create entity","Users","",""
"","554","Create user","LMS service","Sat Feb 07 14:26:04 UTC 2026","passed","Sat Feb 07 14:26:05 UTC 2026","Create entity","Users","",""
"","26","Get exercise","LMS service","Sat Feb 07 14:26:00 UTC 2026","passed","Sat Feb 07 14:26:00 UTC 2026","Get entity","Exercises","",""
"","31","Update course","LMS service","Sat Feb 07 14:25:57 UTC 2026","passed","Sat Feb 07 14:25:57 UTC 2026","Update entity","Courses","",""
"","23","Create file","LMS service","Sat Feb 07 14:26:01 UTC 2026","passed","Sat Feb 07 14:26:01 UTC 2026","Create entity","Files","",""
"","14","Get file","LMS service","Sat Feb 07 14:26:02 UTC 2026","passed","Sat Feb 07 14:26:02 UTC 2026","Get entity","Files","",""
"","31","Create course","LMS service","Sat Feb 07 14:25:56 UTC 2026","passed","Sat Feb 07 14:25:56 UTC 2026","Create entity","Courses","",""
"","15","Update exercise","LMS service","Sat Feb 07 14:25:58 UTC 2026","passed","Sat Feb 07 14:25:58 UTC 2026","Update entity","Exercises","",""
"","18","Create file with empty directory","LMS service","Sat Feb 07 14:26:03 UTC 2026","passed","Sat Feb 07 14:26:03 UTC 2026","Validate entity","Files","",""
"","25","Get exercises","LMS service","Sat Feb 07 14:26:01 UTC 2026","passed","Sat Feb 07 14:26:01 UTC 2026","Get entities","Exercises","",""
"","26","Create exercise","LMS service","Sat Feb 07 14:25:58 UTC 2026","passed","Sat Feb 07 14:25:58 UTC 2026","Create entity","Exercises","",""
"","19","Delete file","LMS service","Sat Feb 07 14:26:02 UTC 2026","passed","Sat Feb 07 14:26:02 UTC 2026","Delete entity","Files","",""
"","38","Get courses","LMS service","Sat Feb 07 14:25:57 UTC 2026","passed","Sat Feb 07 14:25:57 UTC 2026","Get entities","Courses","",""
"","13","Get user me","LMS service","Sat Feb 07 14:26:05 UTC 2026","passed","Sat Feb 07 14:26:05 UTC 2026","Get entity","Users","",""
"","521","Create user","LMS service","Sat Feb 07 14:26:04 UTC 2026","passed","Sat Feb 07 14:26:04 UTC 2026","Create entity","Users","",""
"","265","Create file with empty filename","LMS service","Sat Feb 07 14:26:03 UTC 2026","passed","Sat Feb 07 14:26:03 UTC 2026","Validate entity","Files","",""
