"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get file","LMS service","Wed Jan 21 15:16:39 UTC 2026","passed","Wed Jan 21 15:16:39 UTC 2026","Get entity","Files","",""
"","17","Get exercises","LMS service","Wed Jan 21 15:16:38 UTC 2026","passed","Wed Jan 21 15:16:38 UTC 2026","Get entities","Exercises","",""
"","550","Login with correct email and password","LMS service","Wed Jan 21 15:16:33 UTC 2026","passed","Wed Jan 21 15:16:33 UTC 2026","Login","Authentication","",""
"","266","Create file with empty filename","LMS service","Wed Jan 21 15:16:40 UTC 2026","passed","Wed Jan 21 15:16:40 UTC 2026","Validate entity","Files","",""
"","17","Get exercise","LMS service","Wed Jan 21 15:16:37 UTC 2026","passed","Wed Jan 21 15:16:37 UTC 2026","Get entity","Exercises","",""
"","265","Get file with incorrect file id","LMS service","Wed Jan 21 15:16:41 UTC 2026","passed","Wed Jan 21 15:16:41 UTC 2026","Validate entity","Files","",""
"","550","Create user","LMS service","Wed Jan 21 15:16:41 UTC 2026","passed","Wed Jan 21 15:16:41 UTC 2026","Create entity","Users","",""
"","303","Update course","LMS service","Wed Jan 21 15:16:35 UTC 2026","passed","Wed Jan 21 15:16:35 UTC 2026","Update entity","Courses","",""
"","302","Create course","LMS service","Wed Jan 21 15:16:33 UTC 2026","passed","Wed Jan 21 15:16:34 UTC 2026","Create entity","Courses","",""
"","264","Create file with empty directory","LMS service","Wed Jan 21 15:16:40 UTC 2026","passed","Wed Jan 21 15:16:41 UTC 2026","Validate entity","Files","",""
"","292","Delete exercise","LMS service","Wed Jan 21 15:16:37 UTC 2026","passed","Wed Jan 21 15:16:38 UTC 2026","Delete entity","Exercises","",""
"","291","Create user","LMS service","Wed Jan 21 15:16:41 UTC 2026","passed","Wed Jan 21 15:16:42 UTC 2026","Create entity","Users","",""
"","13","Get user me","LMS service","Wed Jan 21 15:16:43 UTC 2026","passed","Wed Jan 21 15:16:43 UTC 2026","Get entity","Users","",""
"","30","Get courses","LMS service","Wed Jan 21 15:16:34 UTC 2026","passed","Wed Jan 21 15:16:34 UTC 2026","Get entities","Courses","",""
"","21","Delete file","LMS service","Wed Jan 21 15:16:40 UTC 2026","passed","Wed Jan 21 15:16:40 UTC 2026","Delete entity","Files","",""
"","261","Create file","LMS service","Wed Jan 21 15:16:38 UTC 2026","passed","Wed Jan 21 15:16:38 UTC 2026","Create entity","Files","",""
"","293","Create exercise","LMS service","Wed Jan 21 15:16:35 UTC 2026","passed","Wed Jan 21 15:16:35 UTC 2026","Create entity","Exercises","",""
"","287","Update exercise","LMS service","Wed Jan 21 15:16:36 UTC 2026","passed","Wed Jan 21 15:16:36 UTC 2026","Update entity","Exercises","",""
"","557","Create user","LMS service","Wed Jan 21 15:16:41 UTC 2026","passed","Wed Jan 21 15:16:42 UTC 2026","Create entity","Users","",""
