"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Create file with empty filename","LMS service","Wed Jan 28 16:06:43 UTC 2026","passed","Wed Jan 28 16:06:44 UTC 2026","Validate entity","Files","",""
"","34","Create course","LMS service","Wed Jan 28 16:06:37 UTC 2026","passed","Wed Jan 28 16:06:37 UTC 2026","Create entity","Courses","",""
"","32","Get courses","LMS service","Wed Jan 28 16:06:38 UTC 2026","passed","Wed Jan 28 16:06:38 UTC 2026","Get entities","Courses","",""
"","20","Delete file","LMS service","Wed Jan 28 16:06:43 UTC 2026","passed","Wed Jan 28 16:06:43 UTC 2026","Delete entity","Files","",""
"","15","Update exercise","LMS service","Wed Jan 28 16:06:39 UTC 2026","passed","Wed Jan 28 16:06:39 UTC 2026","Update entity","Exercises","",""
"","15","Get file","LMS service","Wed Jan 28 16:06:43 UTC 2026","passed","Wed Jan 28 16:06:43 UTC 2026","Get entity","Files","",""
"","18","Get exercises","LMS service","Wed Jan 28 16:06:41 UTC 2026","passed","Wed Jan 28 16:06:41 UTC 2026","Get entities","Exercises","",""
"","22","Create file","LMS service","Wed Jan 28 16:06:41 UTC 2026","passed","Wed Jan 28 16:06:41 UTC 2026","Create entity","Files","",""
"","533","Create user","LMS service","Wed Jan 28 16:06:44 UTC 2026","passed","Wed Jan 28 16:06:44 UTC 2026","Create entity","Users","",""
"","531","Create user","LMS service","Wed Jan 28 16:06:44 UTC 2026","passed","Wed Jan 28 16:06:45 UTC 2026","Create entity","Users","",""
"","265","Get file with incorrect file id","LMS service","Wed Jan 28 16:06:45 UTC 2026","passed","Wed Jan 28 16:06:45 UTC 2026","Validate entity","Files","",""
"","32","Update course","LMS service","Wed Jan 28 16:06:38 UTC 2026","passed","Wed Jan 28 16:06:38 UTC 2026","Update entity","Courses","",""
"","28","Create exercise","LMS service","Wed Jan 28 16:06:39 UTC 2026","passed","Wed Jan 28 16:06:39 UTC 2026","Create entity","Exercises","",""
"","22","Get exercise","LMS service","Wed Jan 28 16:06:40 UTC 2026","passed","Wed Jan 28 16:06:40 UTC 2026","Get entity","Exercises","",""
"","17","Create file with empty directory","LMS service","Wed Jan 28 16:06:44 UTC 2026","passed","Wed Jan 28 16:06:44 UTC 2026","Validate entity","Files","",""
"","14","Get user me","LMS service","Wed Jan 28 16:06:46 UTC 2026","passed","Wed Jan 28 16:06:46 UTC 2026","Get entity","Users","",""
"","554","Login with correct email and password","LMS service","Wed Jan 28 16:06:36 UTC 2026","passed","Wed Jan 28 16:06:37 UTC 2026","Login","Authentication","",""
"","22","Delete exercise","LMS service","Wed Jan 28 16:06:40 UTC 2026","passed","Wed Jan 28 16:06:40 UTC 2026","Delete entity","Exercises","",""
"","559","Create user","LMS service","Wed Jan 28 16:06:45 UTC 2026","passed","Wed Jan 28 16:06:45 UTC 2026","Create entity","Users","",""
