"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Delete file","LMS service","Fri Jan 23 01:05:37 UTC 2026","passed","Fri Jan 23 01:05:37 UTC 2026","Delete entity","Files","",""
"","267","Update exercise","LMS service","Fri Jan 23 01:05:34 UTC 2026","passed","Fri Jan 23 01:05:34 UTC 2026","Update entity","Exercises","",""
"","286","Create course","LMS service","Fri Jan 23 01:05:31 UTC 2026","passed","Fri Jan 23 01:05:32 UTC 2026","Create entity","Courses","",""
"","286","Update course","LMS service","Fri Jan 23 01:05:33 UTC 2026","passed","Fri Jan 23 01:05:33 UTC 2026","Update entity","Courses","",""
"","12","Get user me","LMS service","Fri Jan 23 01:05:40 UTC 2026","passed","Fri Jan 23 01:05:40 UTC 2026","Get entity","Users","",""
"","16","Create file with empty filename","LMS service","Fri Jan 23 01:05:38 UTC 2026","passed","Fri Jan 23 01:05:38 UTC 2026","Validate entity","Files","",""
"","243","Get file with incorrect file id","LMS service","Fri Jan 23 01:05:39 UTC 2026","passed","Fri Jan 23 01:05:39 UTC 2026","Validate entity","Files","",""
"","507","Create user","LMS service","Fri Jan 23 01:05:38 UTC 2026","passed","Fri Jan 23 01:05:39 UTC 2026","Create entity","Users","",""
"","96","Get file","LMS service","Fri Jan 23 01:05:37 UTC 2026","passed","Fri Jan 23 01:05:37 UTC 2026","Get entity","Files","",""
"","26","Get courses","LMS service","Fri Jan 23 01:05:32 UTC 2026","passed","Fri Jan 23 01:05:32 UTC 2026","Get entities","Courses","",""
"","529","Create user","LMS service","Fri Jan 23 01:05:39 UTC 2026","passed","Fri Jan 23 01:05:40 UTC 2026","Create entity","Users","",""
"","243","Create file with empty directory","LMS service","Fri Jan 23 01:05:38 UTC 2026","passed","Fri Jan 23 01:05:38 UTC 2026","Validate entity","Files","",""
"","543","Login with correct email and password","LMS service","Fri Jan 23 01:05:31 UTC 2026","passed","Fri Jan 23 01:05:31 UTC 2026","Login","Authentication","",""
"","24","Delete exercise","LMS service","Fri Jan 23 01:05:35 UTC 2026","passed","Fri Jan 23 01:05:35 UTC 2026","Delete entity","Exercises","",""
"","15","Create file","LMS service","Fri Jan 23 01:05:36 UTC 2026","passed","Fri Jan 23 01:05:36 UTC 2026","Create entity","Files","",""
"","282","Create exercise","LMS service","Fri Jan 23 01:05:33 UTC 2026","passed","Fri Jan 23 01:05:33 UTC 2026","Create entity","Exercises","",""
"","279","Get exercises","LMS service","Fri Jan 23 01:05:36 UTC 2026","passed","Fri Jan 23 01:05:36 UTC 2026","Get entities","Exercises","",""
"","270","Get exercise","LMS service","Fri Jan 23 01:05:35 UTC 2026","passed","Fri Jan 23 01:05:35 UTC 2026","Get entity","Exercises","",""
"","493","Create user","LMS service","Fri Jan 23 01:05:39 UTC 2026","passed","Fri Jan 23 01:05:39 UTC 2026","Create entity","Users","",""
