"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","560","Create user","LMS service","Fri Jan 23 01:09:24 UTC 2026","passed","Fri Jan 23 01:09:24 UTC 2026","Create entity","Users","",""
"","534","Create user","LMS service","Fri Jan 23 01:09:23 UTC 2026","passed","Fri Jan 23 01:09:23 UTC 2026","Create entity","Users","",""
"","13","Get file","LMS service","Fri Jan 23 01:09:21 UTC 2026","passed","Fri Jan 23 01:09:21 UTC 2026","Get entity","Files","",""
"","21","Delete file","LMS service","Fri Jan 23 01:09:21 UTC 2026","passed","Fri Jan 23 01:09:21 UTC 2026","Delete entity","Files","",""
"","289","Get exercises","LMS service","Fri Jan 23 01:09:20 UTC 2026","passed","Fri Jan 23 01:09:20 UTC 2026","Get entities","Exercises","",""
"","20","Delete exercise","LMS service","Fri Jan 23 01:09:19 UTC 2026","passed","Fri Jan 23 01:09:19 UTC 2026","Delete entity","Exercises","",""
"","300","Create course","LMS service","Fri Jan 23 01:09:16 UTC 2026","passed","Fri Jan 23 01:09:16 UTC 2026","Create entity","Courses","",""
"","527","Create user","LMS service","Fri Jan 23 01:09:23 UTC 2026","passed","Fri Jan 23 01:09:24 UTC 2026","Create entity","Users","",""
"","286","Login with correct email and password","LMS service","Fri Jan 23 01:09:15 UTC 2026","passed","Fri Jan 23 01:09:15 UTC 2026","Login","Authentication","",""
"","17","Create file","LMS service","Fri Jan 23 01:09:20 UTC 2026","passed","Fri Jan 23 01:09:20 UTC 2026","Create entity","Files","",""
"","266","Get file with incorrect file id","LMS service","Fri Jan 23 01:09:23 UTC 2026","passed","Fri Jan 23 01:09:24 UTC 2026","Validate entity","Files","",""
"","293","Create exercise","LMS service","Fri Jan 23 01:09:17 UTC 2026","passed","Fri Jan 23 01:09:17 UTC 2026","Create entity","Exercises","",""
"","298","Get courses","LMS service","Fri Jan 23 01:09:16 UTC 2026","passed","Fri Jan 23 01:09:16 UTC 2026","Get entities","Courses","",""
"","318","Get exercise","LMS service","Fri Jan 23 01:09:19 UTC 2026","passed","Fri Jan 23 01:09:19 UTC 2026","Get entity","Exercises","",""
"","12","Get user me","LMS service","Fri Jan 23 01:09:25 UTC 2026","passed","Fri Jan 23 01:09:25 UTC 2026","Get entity","Users","",""
"","300","Update course","LMS service","Fri Jan 23 01:09:17 UTC 2026","passed","Fri Jan 23 01:09:17 UTC 2026","Update entity","Courses","",""
"","261","Create file with empty filename","LMS service","Fri Jan 23 01:09:22 UTC 2026","passed","Fri Jan 23 01:09:23 UTC 2026","Validate entity","Files","",""
"","286","Update exercise","LMS service","Fri Jan 23 01:09:18 UTC 2026","passed","Fri Jan 23 01:09:18 UTC 2026","Update entity","Exercises","",""
"","21","Create file with empty directory","LMS service","Fri Jan 23 01:09:23 UTC 2026","passed","Fri Jan 23 01:09:23 UTC 2026","Validate entity","Files","",""
