"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Delete exercise","LMS service","Sat Feb 07 08:24:15 UTC 2026","passed","Sat Feb 07 08:24:15 UTC 2026","Delete entity","Exercises","",""
"","23","Get exercises","LMS service","Sat Feb 07 08:24:16 UTC 2026","passed","Sat Feb 07 08:24:16 UTC 2026","Get entities","Exercises","",""
"","23","Create exercise","LMS service","Sat Feb 07 08:24:14 UTC 2026","passed","Sat Feb 07 08:24:14 UTC 2026","Create entity","Exercises","",""
"","31","Create course","LMS service","Sat Feb 07 08:24:11 UTC 2026","passed","Sat Feb 07 08:24:11 UTC 2026","Create entity","Courses","",""
"","23","Create file","LMS service","Sat Feb 07 08:24:16 UTC 2026","passed","Sat Feb 07 08:24:16 UTC 2026","Create entity","Files","",""
"","18","Update exercise","LMS service","Sat Feb 07 08:24:14 UTC 2026","passed","Sat Feb 07 08:24:14 UTC 2026","Update entity","Exercises","",""
"","520","Create user","LMS service","Sat Feb 07 08:24:19 UTC 2026","passed","Sat Feb 07 08:24:20 UTC 2026","Create entity","Users","",""
"","260","Create file with empty filename","LMS service","Sat Feb 07 08:24:18 UTC 2026","passed","Sat Feb 07 08:24:19 UTC 2026","Validate entity","Files","",""
"","14","Get file","LMS service","Sat Feb 07 08:24:18 UTC 2026","passed","Sat Feb 07 08:24:18 UTC 2026","Get entity","Files","",""
"","263","Get file with incorrect file id","LMS service","Sat Feb 07 08:24:20 UTC 2026","passed","Sat Feb 07 08:24:20 UTC 2026","Validate entity","Files","",""
"","14","Get user me","LMS service","Sat Feb 07 08:24:21 UTC 2026","passed","Sat Feb 07 08:24:21 UTC 2026","Get entity","Users","",""
"","534","Create user","LMS service","Sat Feb 07 08:24:19 UTC 2026","passed","Sat Feb 07 08:24:19 UTC 2026","Create entity","Users","",""
"","29","Get courses","LMS service","Sat Feb 07 08:24:13 UTC 2026","passed","Sat Feb 07 08:24:13 UTC 2026","Get entities","Courses","",""
"","30","Update course","LMS service","Sat Feb 07 08:24:13 UTC 2026","passed","Sat Feb 07 08:24:13 UTC 2026","Update entity","Courses","",""
"","559","Create user","LMS service","Sat Feb 07 08:24:20 UTC 2026","passed","Sat Feb 07 08:24:20 UTC 2026","Create entity","Users","",""
"","18","Delete file","LMS service","Sat Feb 07 08:24:18 UTC 2026","passed","Sat Feb 07 08:24:18 UTC 2026","Delete entity","Files","",""
"","548","Login with correct email and password","LMS service","Sat Feb 07 08:24:11 UTC 2026","passed","Sat Feb 07 08:24:11 UTC 2026","Login","Authentication","",""
"","22","Get exercise","LMS service","Sat Feb 07 08:24:15 UTC 2026","passed","Sat Feb 07 08:24:15 UTC 2026","Get entity","Exercises","",""
"","15","Create file with empty directory","LMS service","Sat Feb 07 08:24:19 UTC 2026","passed","Sat Feb 07 08:24:19 UTC 2026","Validate entity","Files","",""
