"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","250","Create file","LMS service","Thu Jan 29 15:42:58 UTC 2026","passed","Thu Jan 29 15:42:58 UTC 2026","Create entity","Files","",""
"","276","Delete exercise","LMS service","Thu Jan 29 15:42:57 UTC 2026","passed","Thu Jan 29 15:42:58 UTC 2026","Delete entity","Exercises","",""
"","521","Create user","LMS service","Thu Jan 29 15:43:01 UTC 2026","passed","Thu Jan 29 15:43:01 UTC 2026","Create entity","Users","",""
"","277","Create user","LMS service","Thu Jan 29 15:43:01 UTC 2026","passed","Thu Jan 29 15:43:01 UTC 2026","Create entity","Users","",""
"","272","Update exercise","LMS service","Thu Jan 29 15:42:56 UTC 2026","passed","Thu Jan 29 15:42:56 UTC 2026","Update entity","Exercises","",""
"","17","Get file","LMS service","Thu Jan 29 15:42:59 UTC 2026","passed","Thu Jan 29 15:42:59 UTC 2026","Get entity","Files","",""
"","295","Update course","LMS service","Thu Jan 29 15:42:55 UTC 2026","passed","Thu Jan 29 15:42:55 UTC 2026","Update entity","Courses","",""
"","251","Create file with empty directory","LMS service","Thu Jan 29 15:43:00 UTC 2026","passed","Thu Jan 29 15:43:01 UTC 2026","Validate entity","Files","",""
"","50","Get exercise","LMS service","Thu Jan 29 15:42:57 UTC 2026","passed","Thu Jan 29 15:42:57 UTC 2026","Get entity","Exercises","",""
"","523","Create user","LMS service","Thu Jan 29 15:43:01 UTC 2026","passed","Thu Jan 29 15:43:02 UTC 2026","Create entity","Users","",""
"","271","Login with correct email and password","LMS service","Thu Jan 29 15:42:53 UTC 2026","passed","Thu Jan 29 15:42:53 UTC 2026","Login","Authentication","",""
"","251","Create file with empty filename","LMS service","Thu Jan 29 15:43:00 UTC 2026","passed","Thu Jan 29 15:43:00 UTC 2026","Validate entity","Files","",""
"","18","Get exercises","LMS service","Thu Jan 29 15:42:58 UTC 2026","passed","Thu Jan 29 15:42:58 UTC 2026","Get entities","Exercises","",""
"","276","Create exercise","LMS service","Thu Jan 29 15:42:55 UTC 2026","passed","Thu Jan 29 15:42:56 UTC 2026","Create entity","Exercises","",""
"","250","Get file with incorrect file id","LMS service","Thu Jan 29 15:43:01 UTC 2026","passed","Thu Jan 29 15:43:01 UTC 2026","Validate entity","Files","",""
"","280","Get courses","LMS service","Thu Jan 29 15:42:54 UTC 2026","passed","Thu Jan 29 15:42:54 UTC 2026","Get entities","Courses","",""
"","13","Get user me","LMS service","Thu Jan 29 15:43:02 UTC 2026","passed","Thu Jan 29 15:43:02 UTC 2026","Get entity","Users","",""
"","284","Create course","LMS service","Thu Jan 29 15:42:54 UTC 2026","passed","Thu Jan 29 15:42:54 UTC 2026","Create entity","Courses","",""
"","20","Delete file","LMS service","Thu Jan 29 15:43:00 UTC 2026","passed","Thu Jan 29 15:43:00 UTC 2026","Delete entity","Files","",""
