"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","300","Create course","LMS service","Sat Feb 07 14:34:19 UTC 2026","passed","Sat Feb 07 14:34:19 UTC 2026","Create entity","Courses","",""
"","526","Create user","LMS service","Sat Feb 07 14:34:26 UTC 2026","passed","Sat Feb 07 14:34:27 UTC 2026","Create entity","Users","",""
"","292","Get exercises","LMS service","Sat Feb 07 14:34:23 UTC 2026","passed","Sat Feb 07 14:34:23 UTC 2026","Get entities","Exercises","",""
"","14","Get file","LMS service","Sat Feb 07 14:34:25 UTC 2026","passed","Sat Feb 07 14:34:25 UTC 2026","Get entity","Files","",""
"","22","Create file with empty directory","LMS service","Sat Feb 07 14:34:26 UTC 2026","passed","Sat Feb 07 14:34:26 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Sat Feb 07 14:34:28 UTC 2026","passed","Sat Feb 07 14:34:28 UTC 2026","Get entity","Users","",""
"","286","Update exercise","LMS service","Sat Feb 07 14:34:21 UTC 2026","passed","Sat Feb 07 14:34:22 UTC 2026","Update entity","Exercises","",""
"","18","Delete file","LMS service","Sat Feb 07 14:34:25 UTC 2026","passed","Sat Feb 07 14:34:25 UTC 2026","Delete entity","Files","",""
"","533","Create user","LMS service","Sat Feb 07 14:34:26 UTC 2026","passed","Sat Feb 07 14:34:26 UTC 2026","Create entity","Users","",""
"","304","Update course","LMS service","Sat Feb 07 14:34:20 UTC 2026","passed","Sat Feb 07 14:34:20 UTC 2026","Update entity","Courses","",""
"","22","Create exercise","LMS service","Sat Feb 07 14:34:21 UTC 2026","passed","Sat Feb 07 14:34:21 UTC 2026","Create entity","Exercises","",""
"","18","Create file","LMS service","Sat Feb 07 14:34:23 UTC 2026","passed","Sat Feb 07 14:34:23 UTC 2026","Create entity","Files","",""
"","559","Create user","LMS service","Sat Feb 07 14:34:27 UTC 2026","passed","Sat Feb 07 14:34:27 UTC 2026","Create entity","Users","",""
"","296","Get courses","LMS service","Sat Feb 07 14:34:19 UTC 2026","passed","Sat Feb 07 14:34:19 UTC 2026","Get entities","Courses","",""
"","268","Get file with incorrect file id","LMS service","Sat Feb 07 14:34:27 UTC 2026","passed","Sat Feb 07 14:34:27 UTC 2026","Validate entity","Files","",""
"","318","Get exercise","LMS service","Sat Feb 07 14:34:22 UTC 2026","passed","Sat Feb 07 14:34:22 UTC 2026","Get entity","Exercises","",""
"","265","Create file with empty filename","LMS service","Sat Feb 07 14:34:25 UTC 2026","passed","Sat Feb 07 14:34:26 UTC 2026","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Sat Feb 07 14:34:23 UTC 2026","passed","Sat Feb 07 14:34:23 UTC 2026","Delete entity","Exercises","",""
"","285","Login with correct email and password","LMS service","Sat Feb 07 14:34:18 UTC 2026","passed","Sat Feb 07 14:34:18 UTC 2026","Login","Authentication","",""
