"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","530","Create user","LMS service","Thu Jan 22 15:38:15 UTC 2026","passed","Thu Jan 22 15:38:16 UTC 2026","Create entity","Users","",""
"","561","Create user","LMS service","Thu Jan 22 15:38:16 UTC 2026","passed","Thu Jan 22 15:38:17 UTC 2026","Create entity","Users","",""
"","553","Login with correct email and password","LMS service","Thu Jan 22 15:38:08 UTC 2026","passed","Thu Jan 22 15:38:08 UTC 2026","Login","Authentication","",""
"","18","Create file with empty directory","LMS service","Thu Jan 22 15:38:15 UTC 2026","passed","Thu Jan 22 15:38:15 UTC 2026","Validate entity","Files","",""
"","22","Delete exercise","LMS service","Thu Jan 22 15:38:12 UTC 2026","passed","Thu Jan 22 15:38:12 UTC 2026","Delete entity","Exercises","",""
"","32","Get courses","LMS service","Thu Jan 22 15:38:09 UTC 2026","passed","Thu Jan 22 15:38:09 UTC 2026","Get entities","Courses","",""
"","38","Update course","LMS service","Thu Jan 22 15:38:09 UTC 2026","passed","Thu Jan 22 15:38:09 UTC 2026","Update entity","Courses","",""
"","23","Get exercise","LMS service","Thu Jan 22 15:38:12 UTC 2026","passed","Thu Jan 22 15:38:12 UTC 2026","Get entity","Exercises","",""
"","21","Create file","LMS service","Thu Jan 22 15:38:13 UTC 2026","passed","Thu Jan 22 15:38:13 UTC 2026","Create entity","Files","",""
"","526","Create user","LMS service","Thu Jan 22 15:38:16 UTC 2026","passed","Thu Jan 22 15:38:16 UTC 2026","Create entity","Users","",""
"","269","Get file with incorrect file id","LMS service","Thu Jan 22 15:38:16 UTC 2026","passed","Thu Jan 22 15:38:16 UTC 2026","Validate entity","Files","",""
"","37","Create course","LMS service","Thu Jan 22 15:38:08 UTC 2026","passed","Thu Jan 22 15:38:08 UTC 2026","Create entity","Courses","",""
"","15","Update exercise","LMS service","Thu Jan 22 15:38:11 UTC 2026","passed","Thu Jan 22 15:38:11 UTC 2026","Update entity","Exercises","",""
"","21","Delete file","LMS service","Thu Jan 22 15:38:14 UTC 2026","passed","Thu Jan 22 15:38:14 UTC 2026","Delete entity","Files","",""
"","19","Get exercises","LMS service","Thu Jan 22 15:38:13 UTC 2026","passed","Thu Jan 22 15:38:13 UTC 2026","Get entities","Exercises","",""
"","15","Get file","LMS service","Thu Jan 22 15:38:14 UTC 2026","passed","Thu Jan 22 15:38:14 UTC 2026","Get entity","Files","",""
"","13","Get user me","LMS service","Thu Jan 22 15:38:17 UTC 2026","passed","Thu Jan 22 15:38:17 UTC 2026","Get entity","Users","",""
"","25","Create exercise","LMS service","Thu Jan 22 15:38:10 UTC 2026","passed","Thu Jan 22 15:38:11 UTC 2026","Create entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Thu Jan 22 15:38:15 UTC 2026","passed","Thu Jan 22 15:38:15 UTC 2026","Validate entity","Files","",""
